GeneFamily	SRR5451791	SRR5451792	SRR5451801	SRR5451802	SRR5451803	SRR5451804	SRR5451805	SRR5451806	SRR5451807	SRR5451808	SRR5451809	SRR5452015	SRR5452016	SRR5452017	SRR5452018	SRR5452019	SRR5452020	SRR5452021	SRR5452022
K03820	11.7147531183	0	0	48.8735922102	9.9671698528	0	0	227.0224709992	0	0	0	427.3438746007	0	0	0	0	130.2023086083	269.7870606755	0
K03821	0	0	0	0	0	0	0	243.1291167969	0	0	0	34.4480845685	0	0	0	0	23.6249988635	33.6951970161	0
K03823	26.6212395348	26.1498992050	13.6656343174	53.1879417553	13.6493465267	28.4103161395	18.1378221689	49.6302389799	16.6860327670	0	8.5974153486	213.6228814190	0	0	64.9878539471	6.4455098420	11.5791453352	28.5988583179	5.8184822795
K03824	0	0	0	38.3115590353	21.2856881835	0	10.5526774455	19.1670825205	0	0	0	29.8189901556	0	0	0	0	0	0	0
K03825	0	0	0	29.5858294753	0	0	10.9839360929	0	0	0	8.7989614187	19.7726060016	0	0	0	0	0	6.5903421265	0
K03826	0	0	0	31.9143906940	9.8340615582	0	12.3603520564	14.8659610568	0	0	0	22.0468457560	0	0	0	0	0	0	0
K03827	0	0	0	49.6711622016	9.8651172388	0	7.3892524388	9.7989120916	0	0	7.3773261022	136.2775812175	0	0	0	0	0	4.6814602003	0
K03828	0	0	0	22.6067502173	0	0	8.4368654825	15.1371049932	0	0	0	10.8377008605	0	0	0	0	0	12.7378438928	0
K03829	0	0	0	15.8544986037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K03830	0	0	0	31.0422280337	0	0	7.2087476308	0	0	0	7.1886178967	14.3119898183	0	0	0	0	0	0	0
K03831	0	0	0	45.2812290632	12.6380493843	0	16.1450657030	541.7280490939	0	0	9.4380450296	195.1313110750	0	0	0	12.8605046071	21.0715024517	60.1808453180	0
K03832	0	0	0	46.9003272845	5.9895448235	0	6.9648081279	405.8987581957	0	0	15.1631877018	193.0254555052	0	0	0	0	69.0398775252	104.5863346954	0
K03833	0	0	0	60.5730463698	11.5443941493	0	0	196.9920007428	0	0	0	67.1029852923	0	0	0	0	15.4548155057	23.4753788973	0
K03834	0	0	0	40.7296967200	0	0	0	0	0	0	0	25.4484110315	0	0	0	0	0	0	0
K03835	0	0	0	60.4500470686	12.4348101744	0	8.2943602211	12.4112768448	0	0	0	43.6339405728	0	0	0	6.8491425296	0	0	0
K03836	0	0	0	25.7781773149	0	0	0	0	0	0	8.3022985725	14.0947146889	0	0	0	0	0	0	0
K03837	0	0	0	38.1661148919	0	0	0	21.4257204724	0	0	7.1400083687	65.8990331537	0	0	0	6.5694332093	11.1512403037	7.8262477887	0
K03838	0	0	0	33.1409570266	0	0	0	11.5603983591	0	0	0	34.6804550452	0	0	0	0	0	0	0
K03839	0	0	0	23.7379976781	5.5454802610	0	0	15.6545757550	0	0	0	64.1106493256	0	0	0	0	0	7.8226556250	0
K03840	0	0	0	22.5613938308	10.2482287686	0	0	14.3465430289	0	0	8.2007215153	28.7076317241	0	0	0	0	6.1553279204	0	0
K03841	12.5885271565	11.2667337151	15.3340276598	45.0456060088	19.4214916887	0	15.3049770611	1180.0242852392	10.2791837794	6.1576104683	10.1786457122	1175.9105974970	0	0	7.1476850738	11.2926998011	148.3309319006	663.7307389490	0
K03855	0	0	0	66.5216631696	0	0	0	23.5778771041	0	0	0	34.8879466990	0	0	0	0	0	0	0
K03856	31.4334943335	10.1785114769	28.1524000320	68.9560857072	0	0	36.5136053767	56.0194051834	17.9954834275	0	0	15.2392673202	0	40.6612071915	0	0	0	32.4839093187	25.2521811241
K03862	0	0	0	0	0	0	8.6843058364	157.8861836334	0	0	0	411.2258890725	0	0	0	0	68.1391513921	316.9093962825	0
K03863	0	0	0	0	0	0	0	0	0	0	0	27.0819011872	0	0	0	0	0	34.7558216931	0
K03885	0	0	10.9859998452	35.9735268357	0	0	22.1691142789	254.4289557130	0	0	0	1793.6298282205	0	0	0	16.6467967073	32.6759071922	862.9743935881	0
K03892	0	60.3843316260	59.2431327518	45.2514961129	24.5776309580	58.3887716358	33.9069154764	318.8259027944	31.2626601556	0	61.4762555680	311.4716799424	0	28.3857966794	39.8680925804	0	91.0385157397	343.9936263141	95.4934775297
